City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,qaqortoq,60.7167,-46.0333,3.18,54,100,6.8,GL,1702004773
159,cururupu,-1.8283,-44.8683,24.69,88,69,1.95,BR,1702004775
160,sault ste. marie,46.5168,-84.3333,2.16,93,100,2.06,CA,1702004545
161,punta arenas,-53.15,-70.9167,7.06,81,0,0.0,CL,1702004780
162,hatten,53.0167,8.35,1.08,93,100,1.79,DE,1702004782
163,kangding,30.0513,101.9603,13.12,42,99,1.06,CN,1702004784
164,afaahiti,-17.75,-149.2833,25.93,85,100,8.6,PF,1702004786
165,sao vicente,-23.9631,-46.3919,29.1,26,100,0.36,BR,1702004789
166,albox,37.3886,-2.1495,13.51,75,100,4.3,ES,1702004791
167,nar'yan-mar,67.6713,53.087,-14.38,96,100,3.58,RU,1702004794
168,banyuls de la marenda,42.4837,3.129,9.45,92,100,2.08,FR,1702004796
169,bredasdorp,-34.5322,20.0403,16.78,80,0,3.22,ZA,1702004799
170,longyearbyen,78.2186,15.6401,-1.09,69,40,6.69,SJ,1702004800
171,soderhamn,61.3037,17.0592,-2.8,97,100,5.4,SE,1702004803
172,la sarre,48.8002,-79.1996,-4.48,97,100,1.57,CA,1702004804
173,urengoy,65.9667,78.3667,-27.8,97,62,5.13,RU,1702004806
174,geraldton,-28.7667,114.6,26.23,36,0,10.29,AU,1702004563
175,argostolion,38.1811,20.489,11.53,62,19,11.1,GR,1702004811
176,cherdyn',60.403,56.4787,-27.71,98,72,0.83,RU,1702004815
177,pizarro,4.9533,-77.366,25.27,89,91,1.47,CO,1702004816
178,chadron,42.8294,-102.9999,7.82,56,0,10.29,US,1702004819
179,gadzhiyevo,69.2551,33.3362,-10.01,91,95,7.55,RU,1702004820
180,santana,-0.0583,-51.1817,28.1,83,40,4.12,BR,1702004637
181,saint-pierre,-21.3393,55.4781,25.87,83,20,1.54,RE,1702004826
182,vadso,70.0744,29.7487,-6.91,73,90,12.86,NO,1702004828
183,pangoa,-12.1167,-73.0,20.24,98,49,1.19,PE,1702004830
184,ha giang,22.8333,104.9833,22.88,58,10,1.48,VN,1702004832
185,bubaque,11.2833,-15.8333,27.28,72,60,3.66,GW,1702004638
186,calvinia,-31.4707,19.776,11.25,85,0,1.81,ZA,1702004835
187,ilulissat,69.2167,-51.1,-4.99,68,75,1.54,GL,1702004836
